beer_name,beer_rating,brewery_name,brewery_location,review_content,reviewer_name
St. Peter's Ruby Red Ale,3.3,St. Peter's Brewery,"Bungay, Suffolk","Ruby color, offwhite coam. Aroma and taste: floral hops, redcurrant jam, caramel, malty, dry and bitter finish, drinkable, not bad.",alex_leit
Shepherd Neame Spitfire (Bottle),2.2,Shepherd Neame,"Faversham, Kent","Disappointing show from the lads at ‘Britain’s oldest brewery’. 2/5 Messerschmitts. Might be better served warm, but I won’t be buying it again to find out.",shivermetimber.gray
Arbor Rocketman,3.8,Arbor Ales,"Bristol, Gloucestershire","Puszka. Mętne o żółtym kolorze. Piana biała,obfita,opada powoli. W aromacie tropiki z ananasem i żółtym melonem na przedzie,cytrusy w tle,lekka nuta chmielowa. W smaku ponownie tropiki,mango,ananas,marakują,żółty melon,lekkie cytrusy, wysycenie małe,lekko oleiste. Naprawdę fajnie wchodzi...na zakończenie prac przy kominku..",MarcinG
Shepherd Neame India Pale Ale (Bottle),3.4,Shepherd Neame,"Faversham, Kent","Bottle. Amber with bronze color and white foam. Aroma: earthy-floral hops, fruits and malts. Taste: rich sweetish malt, fruits; medium hop bitterness, not bad.",alex_leit
Shepherd Neame Christmas Ale ,3.3,Shepherd Neame,"Faversham, Kent","Bottle. Aroma: English hops and malts with toffee. Taste: sweet, malts and fruits, a little hops, mild bitterness, not bad.",alex_leit
Shepherd Neame Bishops Finger (Filtered),3.3,Shepherd Neame,"Faversham, Kent","Aroma and taste: earthy English hops, floral, malt biscuits, fruity, a bit jam, medium bitter, drinkable, not bad.",alex_leit
Shepherd Neame 1698 ,3.4,Shepherd Neame,"Faversham, Kent","Bottle. Red copper color, good foam. Aroma: British hops + Crystal malt, vanilla and caramel. Taste: malty, mild hop bitterness, jam and biscuit, not bad.",alex_leit
Bluebonnet Cream Ale,3.2,Bluebonnet Beer Company,"Round Rock, Texas","Bottle poured a clear yellow with a lingering ring of white foam. Aromas of straw, vanilla and light yeast. Palate was light bodied and smooth with a dry finish. Flavors of bread, light yeast and a hint of vanilla with a smooth dry finish.",Ratman197
Sixpoint Hootie Hazy IPA,3.7,Sixpoint Brewery (ABV),"Brooklyn, New York",crowler from Victory Downingtown - cloudy/hazy yellow color. Decent tropical aroma and flavor.,raymow
March First Craft Lager,3.6,March First Brewing,"Cincinnati, Ohio","Can poured a clear gold with a lingering ring of white foam. Aromas of bread, yeast and earthiness. Palate was light bodied and crisp with a dry finish. Flavors of straw, earthiness and a hint of yeast with a smooth dry finish.",Ratman197
Victory Liberty Bell Ringer (2019),3.5,Victory Brewing Company (ABV),"Downingtown, Pennsylvania",crowler from Downingtown - nice golden color. Decent hop aroma and flavor with a bitter finish.,raymow
Coronado Seven Caves,3.5,Coronado Brewing Company,"Coronado, California","Bottle poured a clear dark reddish brown with a lasting tan head. Aromas of roasted malt, charcoal, light pine and a hint of cocoa. Palate was light bodied and crisp with a dry finish. Flavors of roasted malt and light cocoa with a crisp dry bitter lingering roasty finish.",Ratman197
Greene King Yardbird (Bottle / Keg),2.9,Greene King,"Bury St. Edmunds, Suffolk","Bottle. Golden ale with good white foam. Aroma: light, floral + citrusy hops, watermelon and pear. Taste: clean, light, watery, refreshing, a little fruit, citrus, mild hop bitterness.",alex_leit
Greene King St. Edmund's Golden Beer (Bottle) ,2.6,Greene King,"Bury St. Edmunds, Suffolk","Bottle. Golden color. Aroma: weak, malty, a bit hoppy. Taste: clean, light fruity, citrus, watery, weak body, mild bitterness, light disappointment.",alex_leit
Fuller's Winter Brew,3.6,Fuller's Brewery (Asahi),"Chiswick, Greater London","Flasche 0,5l: Dunkles Kupfer, Kastanienbraun, glasklar, kräftiger stabiler feinporiger Schaum; würzige + fruchtige Nase, kräftige malzig-würzige Süße, dunkle/getrocknete Früchte, kräftige Röstaromen, Malz, Getreide, dunkles Karamell, nussig, etwas Tabak, dunkle Schokolade; kräftig würziger + leicht fruchtiger Körper, kräftige Süße, dunkle/getrocknete Früchte, eingelegte Früchte, kräftige Röstaromen, leichte Hopfennoten, Malz, Getreide, dunkles Karamell, cremig, kräftige Kohlensäure, nussig, Kaffee, dunkle Schokolade; angenehmer würzig-trockener Nachgang",Thomas_W1
Fuller's Old Winter Ale (Bottle),3.3,Fuller's Brewery (Asahi),"Chiswick, Greater London","Flasche 0,5l: Dunkles Kupfer, Kastanienbraun, glasklar, mäßig stabiler feinporiger Schaum, frische + fruchtige Nase, kräftige malzige Süße, dunkle Früchte, rote Beeren, dezente Hopfenaromen, Malz, Getreide, Karamell, leichte Röstaromen, süß, etwas Schokolade; fruchtiger + leicht würziger Körper, würzige Süße, Hopfennoten, Malz, Getreide, Karamell, sehr cremig, kräftige Kohlensäure, leichte Röstaromen, nussig; angenehmer fruchtig-trockener Nachgang",Thomas_W1
Batemans Rosey Nosey (Bottle),3.0,Batemans,"Wainfleet, Lincolnshire","Flasche 0,5l: Dunkles Kupfer, Mahagoni, glasklar, mäßig stabiler feinporiger Schaum; frische + fruchtige Nase, fruchtige Säure, Zitrusnoten, Hopfenaromen, Malz, Getreide, dunkle fruchtige Süße, Gewürze, Nelken, leichte Röstaromen, angenehme fruchtige Bitterkeit; fruchtiger + würziger Körper, fruchtig-würzige Süße, leichte Säure, Zitrusnoten, dunkle Früchte, Hopfennoten, Malz, Getreide, cremig, deutliche Kohlensäure, zunehmend trockener, kräftige trockene Hefearomen, Wash; angenehmer fruchtig-trockener Nachgang",Thomas_W1
Hardys & Hansons Rocking Rudolph (Bottle & Keg),2.9,Greene King,"Bury St. Edmunds, Suffolk","Flasche 0,5l: Dunkles Kupfer, Mahagoni, glasklar, mäßig stabiler feinporiger Schaum; frische + sehr fruchtige Nase, kräftige Süße, dunkle Früchte, rote Beeren, Malz, Malzzucker, kräftig Karamell, leichte Röstaromen, etwas Schokolade; fruchtiger + würziger Körper, würzige Süße, Hopfennoten, Malz, Getreide, etwas Karamell, cremig, kräftige Kohlensäure, zunehmend trockener; angenehmer fruchtig-trockener Nachgang",Thomas_W1
Greene King IPA Export (Filtered),3.0,Greene King,"Bury St. Edmunds, Suffolk","Bottle. Brownish-bronze color, noisy unstable foam. Aroma: malt and fruit, marmalade, a hint of toffee and flowers. Taste: fruit and malt, marmalade and jam again, a little caramel, soft hop bitterness, earthy.",alex_leit
